Year,Semester,Course_Number,English_Name,Section,Lecturer_Name,Lecturer_ID,Department,Day,Time,Room,Room_ID,Registered_Students,Room_Capacity,Online,Start_Time,End_Time,islab,Department_ID,Credit Hours
2022-2023,First Semester,11100,computer skills (remedial),1,Rasha Khalil,1,Computer Science,Sun Tue Thu,17:00-18:00,online,1,50,50,online,17:00,18:00,False,1113,0
2022-2023,First Semester,11100,computer skills (remedial),2,Ala'A Altarazi,2,Computer Science,Mon Wed,16:30-18:00,online,1,46,49,online,16:30,18:00,False,1113,0
2022-2023,First Semester,11100,computer skills (remedial),3,Yousef Yaseen,3,Computer Science,Sun Tue Thu,18:00-19:00,online,1,48,49,online,18:00,19:00,False,1113,0
2022-2023,First Semester,11102,introduction to computer science,1,Dr. Ammar Odeh,4,Computer Science,Mon Wed,13:30-15:00,204,2,43,52,no,13:30,15:00,False,1113,3
2022-2023,First Semester,11102,introduction to computer science,2,Dr. Mu'Awya Al-Dala'Ien,5,Computer Science,Mon Wed,13:30-15:00,204,2,43,52,no,13:30,15:00,False,1113,3
2022-2023,First Semester,11102,introduction to computer science,3,Dr. Rania Alzubaidi,6,Computer Science,Mon Wed,15:00-16:30,204,2,37,52,no,15:00,16:30,False,1113,3
2022-2023,First Semester,11102,introduction to computer science,4,Dr. Rania Alzubaidi,6,Computer Science,Mon Wed,13:30-15:00,204,2,42,52,no,13:30,15:00,False,1113,3
2022-2023,First Semester,11102,introduction to computer science,5,Dr. Mu'Awya Al-Dala'Ien,5,Computer Science,Mon Wed,09:00-10:30,204,2,41,52,no,09:00,10:30,False,1113,3
2022-2023,First Semester,11102,introduction to computer science,6,Dr. Osama Al-Haj Hassan,7,Computer Science,Sun Tue Thu,11:00-12:00,204,2,44,52,no,11:00,12:00,False,1113,3
2022-2023,First Semester,11102,introduction to computer science,7,Dr. Abdullah Al-Refai,8,Computer Science,Sun Tue Thu,10:00-11:00,204,2,44,52,no,10:00,11:00,False,1113,3
2022-2023,First Semester,11102,introduction to computer science,8,Dr. Osama Al-Haj Hassan,7,Computer Science,Sun Tue Thu,14:00-15:00,204,2,42,52,no,14:00,15:00,False,1113,3
2022-2023,First Semester,11102,introduction to computer science,9,Dr. Osama Al-Haj Hassan,7,Computer Science,Sun Tue Thu,09:00-10:00,204,2,44,52,no,09:00,10:00,False,1113,3
2022-2023,First Semester,11102,introduction to computer science,10,Dr. Ammar Alrashdan,9,Computer Science,Sun Tue Thu,14:00-15:00,204,2,43,52,no,14:00,15:00,False,1113,3
2022-2023,First Semester,11103,structured programming,1,Prof. Rawan Ghnemat,10,Computer Science,Sun Tue Thu,10:00-11:00,204,2,29,52,no,10:00,11:00,False,1113,3
2022-2023,First Semester,11103,structured programming,2,Prof. Rawan Ghnemat,10,Computer Science,Mon Wed,10:30-12:00,204,2,30,52,no,10:30,12:00,False,1113,3
2022-2023,First Semester,11103,structured programming,3,Dr. Mohammad Abu- Snober,11,Computer Science,Sun Tue Thu,12:00-13:00,204,2,25,52,no,12:00,13:00,False,1113,3
2022-2023,First Semester,11103,structured programming,4,Rahmeh Ibrahim,12,Computer Science,Mon Wed,12:00-13:30,204,2,16,52,no,12:00,13:30,False,1113,3
2022-2023,First Semester,11103,structured programming,5,Ala'A Altarazi,2,Computer Science,Sun Tue Thu,09:00-10:00,204,2,28,52,no,09:00,10:00,False,1113,3
2022-2023,First Semester,11151,structured programming lab,1,Dr. Ahmad Altamimi,13,Computer Science,Sun,15:00-18:00,it102,3,17,45,no,15:00,18:00,True,1113,1
2022-2023,First Semester,11151,structured programming lab,2,Dr. Rania Alzubaidi,6,Computer Science,Sun,15:00-18:00,it102,3,16,45,no,15:00,18:00,True,1113,1
2022-2023,First Semester,11151,structured programming lab,3,Dr. Yaser Saleh,14,Computer Science,Mon,15:00-18:00,it102,3,18,45,no,15:00,18:00,True,1113,1
2022-2023,First Semester,11151,structured programming lab,4,Narmeen Alhyari,15,Computer Science,Mon,15:00-18:00,it102,3,15,45,no,15:00,18:00,True,1113,1
